nation,all65over,under75,75over,men,women,single,couple,all age,socx_oa,socx_oa_c,socx_oa_b,socx_oa_c_1,socx_oa_c_2,socx_oa_c_3,socx_oa_b_4,socx_oa_b_5,socx_total,socx_health,socx_family,socx_unemployment,socx_oa 2009,socx_oa_c 2009,socx_oa_b 2009,socx_oa_c_1 2009,socx_oa_c_2 2009,socx_oa_c_3 2009,socx_oa_b_4 2009,socx_oa_b_5 2009,socx_total 2009,socx_health 2009,socx_family 2009,socx_unemployment 2009
Australia,26.9,26.1,28.3,24.6,28.9,49.9,17.7,12.4,4.77,3.23,1.57,3.13,NA,0.1,0.666666667,0.9,16.9,5.733333333,2.8,0.433333333,4.9,3.3,1.6,3.3,NA,0,0.7,0.9,17.8,6.2,2.8,0.5
Austria,7.5,5.3,10.2,3.6,10.1,16.4,3.9,6.6,10.80,10.33,0.43,8.87,0.866666667,0.6,0.4,0,26.63333333,6.766666667,2.666666667,0.933333333,12,11.5,0.5,9.8,1,0.7,0.5,0,29.1,7.3,2.9,1.1
Belgium,12.8,10.5,16,12.7,12.9,16.7,10,8.8,7.27,7.10,0.13,6.87,0,0.2,0.1,0.1,26.43333333,7.166666667,2.6,3.2,8.1,7.9,0.2,7.8,0,0.2,0.1,0.1,29.7,8.1,2.8,3.7
Canada,5.9,5.2,6.8,3.1,8.1,16.2,3.9,12,3.73,3.73,NA,3.73,NA,NA,NA,NA,17.1,7.066666667,1.033333333,0.633333333,4.1,4.1,NA,4.1,NA,NA,NA,NA,19.2,8,1.1,1
Czech Republic,2.3,2,2.6,1.4,2.9,5.6,2,5.8,6.7,6.433333333,0.233333333,6.033333333,0.2,0.233333333,0.2,0.1,18.16666667,5.666666667,1.733333333,0.566666667,7.8,7.6,0.2,6.9,0.3,0.4,0.2,0.1,20.7,6.7,1.8,1
Denmark,10,6.9,13.7,8,11.5,17.5,3.8,5.3,7.37,5.53,1.77,5.27,0.3,0,1.766666667,NA,26.8,6.7,3.566666667,1.966666667,8.2,6.1,2.1,5.8,0.3,0,2.1,NA,30.2,7.7,3.9,2.3
Finland,12.7,8.2,19.5,6.5,16.9,28,3.9,7.3,8.53,7.53,1.00,6.83,0.666666667,0,0.7,0.3,25.26666667,6.033333333,2.866666667,1.6,10.2,9,1.2,8.2,0.8,0,0.8,0.4,29.4,6.8,3.3,2
France,8.8,7.2,10.6,6.6,10.4,16.2,4.1,7.1,11.20,10.87,0.30,10.47,0,0.4,0.1,0.233333333,29.76666667,8.6,3,1.4,12.3,11.9,0.4,11.5,0,0.4,0.1,0.3,32.1,9,3.2,1.5
Germany,8.4,6.5,11.1,5.1,10.8,15,4.7,11,8.60,8.60,0.00,8.03,0.566666667,0,0,0,25.46666667,7.8,1.833333333,1.466666667,9.1,9.1,0,8.5,0.6,0,0,0,27.8,8.6,2.1,1.7
Greece,22.7,19.2,27.8,20.4,24.5,34.2,17.6,12.6,10.17,10.10,0.10,6.93,2.633333333,0.566666667,0.1,0,21.7,6,1.133333333,0.466666667,10.9,10.9,0.1,7.5,2.8,0.6,0.1,0,23.9,6.5,1.4,0.7
Hungary,4.6,4.2,5.5,1.8,6.6,11.1,0.8,7.1,8.40,7.93,0.50,6.50,1.266666667,0.1,0.333333333,0.2,22.96666667,5.333333333,3.4,0.666666667,9.1,8.6,0.5,7,1.5,0.1,0.3,0.2,23.9,5.1,3.6,0.9
