"통계분류","항목","단위","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년",
"전체","사례수","","3879","4242","4267","7929","7709","8123","8424","8942","9219","9631","9590","9922","9729","9670","10142","9363",
"전체","남대문시장","","56.1","53.2","44.7","44.6","45.4","49.8","49.8","46.4","49.2","56.4","42.3","38.5","32.8","27.8","29","29",
"전체","동대문시장","","51.6","46.5","45.5","43.8","45","48.5","50.3","51.2","53.4","45.5","57.5","59.4","56.6","61.9","60.3","62.3",
"전체","명동","","44.2","45.2","38.9","45.2","48.2","51.4","55.1","52.8","62.5","66.7","69.5","74.5","72.8","77.6","77.1","81.1",
"전체","고궁","","38.2","38.7","36.5","39.1","33.2","42.9","47.7","43.7","42","44","39.9","39.1","39.1","43.5","44.3","38.6",
"전체","신촌/홍대주변","","","","","","","","","","","","","20","24.2","29.9","29.1","33.2",
"전체","박물관(기념관)","","32","31","30.1","26.3","24.4","32.8","32.2","28.4","27.6","30.2","27.3","27.1","25.2","21.9","26.7","24.3",
"전체","이태원","","30.6","29.8","30.2","28.6","24.6","26.4","25.7","24.2","19.7","21","20.2","21.4","21.6","","","",
"전체","롯데월드","","31.3","26.3","27.4","25.1","20.7","25.4","21.1","21.3","24","25.3","25.8","28.2","30","23.6","23.4","23.9",
"전체","인사동","","16.5","19.1","20","22.4","26.4","26.6","32.5","33.4","29.4","32","32.7","31.7","29.4","30.3","25.8","28",
"전체","강남역","","","","","","","","","","","","","","","22.9","23.1","27.1",
"전체","남산/N서울타워","","14.1","12.6","15.1","15","","25.7","30.2","27","32.2","36.1","36.6","35","31.6","42.5","40.7","43.1",
"전체","코엑스","","","","","","15.9","","","18.6","","","","","","","","",
"전체","청계천","","","","","","","12.7","17.7","","17.8","19.8","","","","","","",
"전체","청와대","","","","","","17.2","","","","","","","","","","","",
"전체","압구정동","","6.3","5.3","5","6.3","","","","","","","","","","","","",
"전체","청계천,광화문광장","","","","","","","","","","","","22.3","","","","","",
"전체","기타","","13.3","22.9","24.7","14.2","","","","","","","","","","","","",
"남성","사례수","","","","","","","","","","","","","4405","4238","4059","4301","3745",
"남성","남대문시장","","","","","","","","","","","","","37","31.3","25.9","28.5","28.1",
"남성","동대문시장","","","","","","","","","","","","","52","47.7","55.3","55.1","56.8",
"남성","명동","","","","","","","","","","","","","63.2","60.1","65.8","66.1","71.9",
"남성","고궁","","","","","","","","","","","","","41.6","40.4","44.1","46.4","39.8",
"남성","신촌/홍대주변","","","","","","","","","","","","","15.2","18","24.5","21.5","23.6",
"남성","박물관(기념관)","","","","","","","","","","","","","30.1","26.6","22.6","28.8","26.8",
"남성","이태원","","","","","","","","","","","","","23.9","23.7","","","",
"남성","롯데월드","","","","","","","","","","","","","25.8","26.2","21.6","21","21.9",
"남성","인사동","","","","","","","","","","","","","29.4","26.8","26.8","21.8","25.2",
"남성","강남역","","","","","","","","","","","","","","","25.1","23.6","27.2",
"남성","남산/N서울타워","","","","","","","","","","","","","34.4","28.5","39.8","38.4","39.4",
"남성","코엑스","","","","","","","","","","","","","","","","","",
"남성","청계천","","","","","","","","","","","","","","","","","",
"남성","청와대","","","","","","","","","","","","","","","","","",
"남성","압구정동","","","","","","","","","","","","","","","","","",
"남성","청계천,광화문광장","","","","","","","","","","","","","","","","","",
"남성","기타","","","","","","","","","","","","","","","","","",
"여성","사례수","","","","","","","","","","","","","5517","5491","5611","5840","5617",
"여성","남대문시장","","","","","","","","","","","","","39.7","33.9","29.2","29.4","29.6",
"여성","동대문시장","","","","","","","","","","","","","65.3","63.5","66.8","64.2","66",
"여성","명동","","","","","","","","","","","","","83.6","82.6","86.2","85.2","87.2",
"여성","고궁","","","","","","","","","","","","","37.1","38","43.1","42.7","37.7",
"여성","신촌/홍대주변","","","","","","","","","","","","","23.9","28.9","33.8","34.8","39.7",
"여성","박물관(기념관)","","","","","","","","","","","","","24.8","24.1","21.4","25.2","22.6",
"여성","이태원","","","","","","","","","","","","","19.4","20","","","",
"여성","롯데월드","","","","","","","","","","","","","30.2","33","25","25.2","25.2",
"여성","인사동","","","","","","","","","","","","","33.5","31.4","32.9","28.7","29.9",
"여성","강남역","","","","","","","","","","","","","","","21.3","22.8","27.1",
"여성","남산/N서울타워","","","","","","","","","","","","","35.5","33.9","44.4","42.4","45.5",
"여성","코엑스","","","","","","","","","","","","","","","","","",
"여성","청계천","","","","","","","","","","","","","","","","","",
"여성","청와대","","","","","","","","","","","","","","","","","",
"여성","압구정동","","","","","","","","","","","","","","","","","",
"여성","청계천,광화문광장","","","","","","","","","","","","","","","","","",
"여성","기타","","","","","","","","","","","","","","","","","",
"15~20세","사례수","","187","223","312","364","372","275","378","342","385","523","426","573","590","667","592","648",
"15~20세","남대문시장","","58","68.9","40.1","56","51.4","50.2","47.9","48.1","50.7","68.8","33.6","31.4","28.4","27.8","23.8","29",
"15~20세","동대문시장","","64.4","55.8","55.5","59.6","62.3","57.9","50.7","66.8","67.4","49.6","72.1","78","71.1","66.4","60.8","64.1",
"15~20세","명동","","50.7","68.4","52.9","60.2","62.6","54.8","56.1","69.4","73.8","77.6","80","88.9","84","86.4","85.9","91.7",
"15~20세","고궁","","41.5","38.3","40","34.3","35.1","39.2","46.6","47.1","45.2","38.3","32","34.6","34.9","39.8","42.9","34",
"15~20세","신촌/홍대주변","","","","","","","","","","","","","32.5","40.9","44.2","42.6","48.7",
"15~20세","박물관(기념관)","","43.6","34.2","36.7","28.8","30","44.8","42.7","34.7","34.9","28.9","32.2","32","30.8","28.2","29","26.6",
"15~20세","이태원","","22.7","31.9","30.3","33.6","26.5","30.5","22.9","29.1","21.8","20.9","18.9","18.7","29.7","","","",
"15~20세","롯데월드","","52.6","38.3","45.6","37.2","30.2","44.6","33.5","40.6","36.5","41.1","41.1","52.5","46.3","37.5","29.9","34.6",
"15~20세","인사동","","12","12.9","27.7","20.4","26","23.6","23.5","39.7","35.4","31.5","31","24.3","29.7","34.2","30.6","28.1",
"15~20세","강남역","","","","","","","","","","","","","","","24.7","26.5","37.7",
"15~20세","남산/N서울타워","","18.3","7.6","12.7","15.8","","24.4","30.2","32.4","39.7","36","37.9","39.4","37","53.5","49.2","51.9",
"15~20세","코엑스","","","","","","16.5","","","27.3","","","","","","","","",
"15~20세","청계천","","","","","","","8","19.1","","21.7","24.8","","","","","","",
"15~20세","청와대","","","","","","17.1","","","","","","","","","","","",
"15~20세","압구정동","","12.7","3.3","5","8.8","","","","","","","","","","","","",
"15~20세","청계천,광화문광장","","","","","","","","","","","","24.1","","","","","",
"15~20세","기타","","9.9","16","19.5","6.7","","","","","","","","","","","","",
"21~30세","사례수","","1200","1290","1297","2355","2328","2361","2644","2408","2820","3177","3491","3415","3465","3815","4172","4088",
"21~30세","남대문시장","","60.5","58.1","51.9","47.2","49.4","52.9","55.2","48.5","51.9","64","47.8","40","32.5","27.4","28.4","28.8",
"21~30세","동대문시장","","59.4","60.7","55.2","54.6","56.8","57.7","59.6","60.5","61.5","47","67.4","69.1","65.8","69.6","66.3","66.5",
"21~30세","명동","","55.1","57.7","49.4","54.1","58.3","58.3","64.3","60.3","72.1","75","78.9","82.1","81.7","86.3","84","86.4",
"21~30세","고궁","","36.9","37.3","34.6","39.9","32.8","40.1","47.1","46.6","42.4","46.1","42.1","40.8","39.8","45","46.5","37.8",
"21~30세","신촌/홍대주변","","","","","","","","","","","","","32.1","37.1","42.9","40.5","42.6",
"21~30세","박물관(기념관)","","32.3","31.6","29.9","26.2","25.6","31.7","32.5","29.7","27.8","32","30.4","30.4","25.8","23.4","27.8","25.2",
"21~30세","이태원","","31.5","36.8","34.9","28.4","28.9","27.5","29.1","28","21.5","23.8","22.2","26.7","26.6","","","",
"21~30세","롯데월드","","34.7","30.5","30.4","29.5","24.7","30.2","24","27.5","31.1","32.5","32.9","36.1","37.9","28.3","27.4","25.5",
"21~30세","인사동","","18.3","24.3","23.4","26.1","32.4","29","37","38.1","34.3","37.3","38.9","36","31.8","35.7","28.7","32.1",
"21~30세","강남역","","","","","","","","","","","","","","","25.4","25.5","29.6",
"21~30세","남산/N서울타워","","11.9","13.3","17","15.6","","26.9","35","31.5","38.8","42","43.7","42.9","39.7","52.2","48.3","50.3",
"21~30세","코엑스","","","","","","18.8","","","23","","","","","","","","",
"21~30세","청계천","","","","","","","13.5","20.9","","20.2","24.1","","","","","","",
"21~30세","청와대","","","","","","17.4","","","","","","","","","","","",
"21~30세","압구정동","","8.1","6.7","6.2","7.3","","","","","","","","","","","","",
"21~30세","청계천,광화문광장","","","","","","","","","","","","27.3","","","","","",
"21~30세","기타","","10","18.2","20.5","12.2","","","","","","","","","","","","",
"31~40세","사례수","","1044","1073","1068","2203","2003","2096","2292","2357","2324","2516","2680","2550","2568","2625","2701","2569",
"31~40세","남대문시장","","50.6","45.7","40.3","42.7","41.4","44.6","45.6","43.7","44.1","56.3","40.8","38.5","33.8","26.8","29.4","30",
"31~40세","동대문시장","","50.5","43.9","42.8","42.5","41.9","49.1","51","52.7","55.1","43.1","55.8","59.1","55.6","62","61.4","64.5",
"31~40세","명동","","43.6","39.7","35.6","43.3","46.5","51.7","54.5","51.2","58.4","62.8","69.5","73.2","70.7","76.3","76.1","81.5",
"31~40세","고궁","","34.5","36.9","36.6","37.3","31.9","42.2","50.3","41.1","39","43.8","36.7","37.7","40","44.1","42.2","41",
"31~40세","신촌/홍대주변","","","","","","","","","","","","","14.3","19.3","24.3","24.1","28.6",
"31~40세","박물관(기념관)","","27.7","26.6","27.3","24.1","20.7","29.4","28.9","26.9","25.1","29.2","23.5","24","25","20.5","25","23.3",
"31~40세","이태원","","33.1","29.3","30.2","29.2","23","25.7","25.8","25.3","18.9","19.8","19.8","20.4","20.4","","","",
"31~40세","롯데월드","","31","25.6","29","24.2","20","24.6","19.8","20","20.4","24.2","21","25","26.6","20.6","21.3","24.4",
"31~40세","인사동","","17.4","17.7","15.8","21.7","23.7","24.3","32.6","32.9","23.7","28","28.3","28.6","28.6","26.9","23.4","25.1",
"31~40세","강남역","","","","","","","","","","","","","","","21.7","21.8","24.2",
"31~40세","남산/N서울타워","","13","12.1","15.8","14.2","","23.2","28.8","26.5","27.2","34.4","35.3","33.4","31","38.9","36.2","39.3",
"31~40세","코엑스","","","","","","15.7","","","19.3","","","","","","","","",
"31~40세","청계천","","","","","","","13.5","18","","17.6","19.5","","","","","","",
"31~40세","청와대","","","","","","17.7","","","","","","","","","","","",
"31~40세","압구정동","","5.5","6","4.4","7.1","","","","","","","","","","","","",
"31~40세","청계천,광화문광장","","","","","","","","","","","","21.6","","","","","",
"31~40세","기타","","12.1","28.2","28.8","15.6","","","","","","","","","","","","",
"41~50세","사례수","","784","895","834","1578","1562","1557","1613","1938","1843","1802","1651","1817","1722","1365","1467","1224",
"41~50세","남대문시장","","57.7","51.1","39.6","39.9","42.6","47.8","47.8","43.3","46.6","51.7","35.2","37.8","30.7","28.6","29.7","28.1",
"41~50세","동대문시장","","48.7","37.8","39.6","35.6","37.1","45","46.2","45.3","47.2","44.3","44.3","49.8","47.4","51.5","51.6","55",
"41~50세","명동","","36.8","36.2","28.7","37.2","39","45.9","49.5","47.8","57","62.4","56.9","66.2","65.1","65.5","66.8","69.3",
"41~50세","고궁","","37.7","36.6","35.5","36.1","34.5","42.6","46.3","41.7","37.9","39.3","35.8","37.6","38.2","41.2","41","36.8",
"41~50세","신촌/홍대주변","","","","","","","","","","","","","12.1","12","14.4","17","17.6",
"41~50세","박물관(기념관)","","31.4","29.8","30.9","24.2","23.9","32.9","29.7","25.6","26.1","27.3","23.7","25.9","23.2","19.8","27.3","20.8",
"41~50세","이태원","","31.4","25.5","26.7","32.2","23.4","24.8","22.9","20.5","18.4","19","19.4","18.1","15.3","","","",
"41~50세","롯데월드","","29.8","23.2","24.2","22.1","17.6","24","19.2","18.3","19.9","18","20.9","22","24.5","17.3","19.1","17.5",
"41~50세","인사동","","13.5","16.6","16.6","18.5","21.4","22.6","27.8","30.1","26.7","27.8","27.9","29","25.1","23.5","21.4","22.3",
"41~50세","강남역","","","","","","","","","","","","","","","21.6","21.8","24.6",
"41~50세","남산/N서울타워","","14.6","13.5","12.4","13.4","","27","27.2","24.4","28","31.1","28","27","22.8","32.1","31.4","31.5",
"41~50세","코엑스","","","","","","16.6","","","16.9","","","","","","","","",
"41~50세","청계천","","","","","","","12.4","16.4","","14.5","16.1","","","","","","",
"41~50세","청와대","","","","","","18.3","","","","","","","","","","","",
"41~50세","압구정동","","4.8","4.6","4.1","4.9","","","","","","","","","","","","",
"41~50세","청계천,광화문광장","","","","","","","","","","","","18.1","","","","","",
"41~50세","기타","","13.6","24.4","25.8","17.1","","","","","","","","","","","","",
"51~60세","사례수","","489","584","581","1041","1042","1297","1025","1279","1152","1134","905","1105","968","861","820","593",
"51~60세","남대문시장","","53.8","53.6","42.8","43.1","45.1","52","49.8","50.1","54.3","42.4","41.7","38.1","34","30.6","31.1","26.4",
"51~60세","동대문시장","","39","35.5","35.7","32.7","35.8","40.6","35.8","43.4","41.7","44.7","44.8","43.5","43.5","49.5","48.1","45.8",
"51~60세","명동","","33.1","34.9","30.2","39.4","42.7","49.7","47.1","49.6","57","56.8","59.7","66","60.8","62.7","64.1","63",
"51~60세","고궁","","43","42.5","38.8","41.8","32.6","48.1","45.3","44.8","46.3","46.9","41.6","39.2","38.5","43.9","44.5","41.3",
"51~60세","신촌/홍대주변","","","","","","","","","","","","","8.7","10.7","11.9","10.3","13.6",
"51~60세","박물관(기념관)","","32.6","33.4","29.5","30.7","26","35.6","36.1","29.4","30.2","28.7","27.1","25","23.1","20.1","24.5","25.1",
"51~60세","이태원","","28.3","23.3","26.3","22.3","21.2","26.8","24.3","21.7","18","17.4","16.8","15.9","17","","","",
"51~60세","롯데월드","","19.8","19.5","16.7","19.2","18","19","14.9","15.1","18.5","15.6","17.1","15.7","15.9","15.2","17.4","15.2",
"51~60세","인사동","","17.8","16.6","19.6","21.2","26.3","31.3","30.9","29.8","29","30.7","30.9","33","29","27.3","23.2","25.3",
"51~60세","강남역","","","","","","","","","","","","","","","17.7","20.2","19.6",
"51~60세","남산/N서울타워","","16.9","12.9","14.3","16.6","","27.1","26.4","24.1","29.1","31.3","28.2","27.6","19.4","28.4","31.9","30.6",
"51~60세","코엑스","","","","","","11.4","","","13.3","","","","","","","","",
"51~60세","청계천","","","","","","","13.1","13.2","","17.1","14.7","","","","","","",
"51~60세","청와대","","","","","","15.3","","","","","","","","","","","",
"51~60세","압구정동","","4.9","3","4.3","3.8","","","","","","","","","","","","",
"51~60세","청계천,광화문광장","","","","","","","","","","","","15.2","","","","","",
"51~60세","기타","","22.1","24","26.9","15.4","","","","","","","","","","","","",
"61세 이상","사례수","","175","178","175","389","400","537","344","535","604","403","366","421","391","303","360","218",
"61세 이상","남대문시장","","55.4","53.4","56.7","51.3","47.3","56.1","50.5","50.9","54.2","40.7","44.4","37.8","41.1","31.8","34.8","32.8",
"61세 이상","동대문시장","","39.4","28.4","33.2","33.6","31","29.9","35.4","32.6","42","52.2","48.5","40.8","33.8","37","46.5","41.3",
"61세 이상","명동","","30","38.2","34.7","35.9","35.7","38.5","40.6","43.8","54","60.3","46.3","59.6","53.5","56.6","60.6","60.9",
"61세 이상","고궁","","56","58.7","40.1","53.4","38.1","48.8","53.8","42.5","52.1","48.5","60.8","45.4","37.8","37.8","50.4","43.1",
"61세 이상","신촌/홍대주변","","","","","","","","","","","","","5.2","3.4","6.8","5.9","8.5",
"61세 이상","박물관(기념관)","","43.8","47.6","34.8","34.5","28.1","37.4","39.1","31.3","32.7","37.6","33.8","23.2","26.6","16.2","27.4","31.8",
"61세 이상","이태원","","20.4","23.4","24.8","24.3","18.8","26.4","24.4","20.2","18.6","22.7","17.1","17.4","13.6","","","",
"61세 이상","롯데월드","","25.3","23.8","14.9","19","11.8","16.4","17.6","11.5","18.8","15.6","19.8","12.4","17.2","10.6","13.8","13.4",
