통계분류,항목,단위,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년
전체,사례수,,9590,9922,9729,9670,10142,9363
전체,명동,,69.5,74.5,72.8,77.6,77.1,81.1
전체,동대문시장,,57.5,59.4,56.6,61.9,60.3,62.3
전체,남대문시장,,42.3,38.5,32.8,27.8,29,29
전체,고궁,,39.9,39.1,39.1,43.5,44.3,38.6
전체,인사동,,32.7,31.7,29.4,30.3,25.8,28
전체,박물관(기념관),,27.3,27.1,25.2,21.9,26.7,24.3
전체,남산/N서울타워,,36.6,35,31.6,42.5,40.7,43.1
전체,이태원,,20.2,21.4,21.6,,,
전체,롯데월드,,25.8,28.2,30,23.6,23.4,23.9
전체,청계천,,22.3,,,,,
전체,청와대,,,,,,,
전체,코엑스,,,,,,,
전체,압구정동,,,,,,,
전체,신촌/홍대주변,,,20,24.2,29.9,29.1,33.2
전체,강남역,,,,,22.9,23.1,27.1
전체,기 타,,,,,,,
남성,사례수,,,4405,4238,4059,4301,3745
남성,명동,,,63.2,60.1,65.8,66.1,71.9
남성,동대문시장,,,52,47.7,55.3,55.1,56.8
남성,남대문시장,,,37,31.3,25.9,28.5,28.1
남성,고궁,,,41.6,40.4,44.1,46.4,39.8
남성,인사동,,,29.4,26.8,26.8,21.8,25.2
남성,박물관(기념관),,,30.1,26.6,22.6,28.8,26.8
남성,남산/N서울타워,,,34.4,28.5,39.8,38.4,39.4
남성,이태원,,,23.9,23.7,,,
남성,롯데월드,,,25.8,26.2,21.6,21,21.9
남성,청계천,,,,,,,
남성,청와대,,,,,,,
남성,코엑스,,,,,,,
남성,압구정동,,,,,,,
남성,신촌/홍대주변,,,15.2,18,24.5,21.5,23.6
남성,강남역,,,,,25.1,23.6,27.2
남성,기 타,,,,,,,
여성,사례수,,,5517,5491,5611,5840,5617
여성,명동,,,83.6,82.6,86.2,85.2,87.2
여성,동대문시장,,,65.3,63.5,66.8,64.2,66
여성,남대문시장,,,39.7,33.9,29.2,29.4,29.6
여성,고궁,,,37.1,38,43.1,42.7,37.7
여성,인사동,,,33.5,31.4,32.9,28.7,29.9
여성,박물관(기념관),,,24.8,24.1,21.4,25.2,22.6
여성,남산/N서울타워,,,35.5,33.9,44.4,42.4,45.5
여성,이태원,,,19.4,20,,,
여성,롯데월드,,,30.2,33,25,25.2,25.2
여성,청계천,,,,,,,
여성,청와대,,,,,,,
여성,코엑스,,,,,,,
여성,압구정동,,,,,,,
여성,신촌/홍대주변,,,23.9,28.9,33.8,34.8,39.7
여성,강남역,,,,,21.3,22.8,27.1
여성,기 타,,,,,,,
15~20세,사례수,,426,573,590,667,592,648
15~20세,명동,,80,88.9,84,86.4,85.9,91.7
15~20세,동대문시장,,72.1,78,71.1,66.4,60.8,64.1
15~20세,남대문시장,,33.6,31.4,28.4,27.8,23.8,29
15~20세,고궁,,32,34.6,34.9,39.8,42.9,34
15~20세,인사동,,31,24.3,29.7,34.2,30.6,28.1
15~20세,박물관(기념관),,32.2,32,30.8,28.2,29,26.6
15~20세,남산/N서울타워,,37.9,39.4,37,53.5,49.2,51.9
15~20세,이태원,,18.9,18.7,29.7,,,
15~20세,롯데월드,,41.1,52.5,46.3,37.5,29.9,34.6
15~20세,청계천,,24.1,,,,,
15~20세,청와대,,,,,,,
15~20세,코엑스,,,,,,,
15~20세,압구정동,,,,,,,
15~20세,신촌/홍대주변,,,32.5,40.9,44.2,42.6,48.7
15~20세,강남역,,,,,24.7,26.5,37.7
15~20세,기 타,,,,,,,
21~30세,사례수,,3491,3415,3465,3815,4172,4088
21~30세,명동,,78.9,82.1,81.7,86.3,84,86.4
21~30세,동대문시장,,67.4,69.1,65.8,69.6,66.3,66.5
21~30세,남대문시장,,47.8,40,32.5,27.4,28.4,28.8
21~30세,고궁,,42.1,40.8,39.8,45,46.5,37.8
21~30세,인사동,,38.9,36,31.8,35.7,28.7,32.1
21~30세,박물관(기념관),,30.4,30.4,25.8,23.4,27.8,25.2
21~30세,남산/N서울타워,,43.7,42.9,39.7,52.2,48.3,50.3
21~30세,이태원,,22.2,26.7,26.6,,,
21~30세,롯데월드,,32.9,36.1,37.9,28.3,27.4,25.5
21~30세,청계천,,27.3,,,,,
21~30세,청와대,,,,,,,
21~30세,코엑스,,,,,,,
21~30세,압구정동,,,,,,,
21~30세,신촌/홍대주변,,,32.1,37.1,42.9,40.5,42.6
21~30세,강남역,,,,,25.4,25.5,29.6
21~30세,기 타,,,,,,,
31~40세,사례수,,2680,2550,2568,2625,2701,2569
31~40세,명동,,69.5,73.2,70.7,76.3,76.1,81.5
31~40세,동대문시장,,55.8,59.1,55.6,62,61.4,64.5
31~40세,남대문시장,,40.8,38.5,33.8,26.8,29.4,30
31~40세,고궁,,36.7,37.7,40,44.1,42.2,41
31~40세,인사동,,28.3,28.6,28.6,26.9,23.4,25.1
31~40세,박물관(기념관),,23.5,24,25,20.5,25,23.3
31~40세,남산/N서울타워,,35.3,33.4,31,38.9,36.2,39.3
31~40세,이태원,,19.8,20.4,20.4,,,
31~40세,롯데월드,,21,25,26.6,20.6,21.3,24.4
31~40세,청계천,,21.6,,,,,
31~40세,청와대,,,,,,,
31~40세,코엑스,,,,,,,
31~40세,압구정동,,,,,,,
31~40세,신촌/홍대주변,,,14.3,19.3,24.3,24.1,28.6
31~40세,강남역,,,,,21.7,21.8,24.2
31~40세,기 타,,,,,,,
41~50세,사례수,,1651,1817,1722,1365,1467,1224
41~50세,명동,,56.9,66.2,65.1,65.5,66.8,69.3
41~50세,동대문시장,,44.3,49.8,47.4,51.5,51.6,55
41~50세,남대문시장,,35.2,37.8,30.7,28.6,29.7,28.1
41~50세,고궁,,35.8,37.6,38.2,41.2,41,36.8
41~50세,인사동,,27.9,29,25.1,23.5,21.4,22.3
41~50세,박물관(기념관),,23.7,25.9,23.2,19.8,27.3,20.8
41~50세,남산/N서울타워,,28,27,22.8,32.1,31.4,31.5
41~50세,이태원,,19.4,18.1,15.3,,,
41~50세,롯데월드,,20.9,22,24.5,17.3,19.1,17.5
41~50세,청계천,,18.1,,,,,
41~50세,청와대,,,,,,,
41~50세,코엑스,,,,,,,
41~50세,압구정동,,,,,,,
41~50세,신촌/홍대주변,,,12.1,12,14.4,17,17.6
41~50세,강남역,,,,,21.6,21.8,24.6
41~50세,기 타,,,,,,,
51~60세,사례수,,905,1105,968,861,820,593
51~60세,명동,,59.7,66,60.8,62.7,64.1,63
51~60세,동대문시장,,44.8,43.5,43.5,49.5,48.1,45.8
51~60세,남대문시장,,41.7,38.1,34,30.6,31.1,26.4
51~60세,고궁,,41.6,39.2,38.5,43.9,44.5,41.3
51~60세,인사동,,30.9,33,29,27.3,23.2,25.3
51~60세,박물관(기념관),,27.1,25,23.1,20.1,24.5,25.1
51~60세,남산/N서울타워,,28.2,27.6,19.4,28.4,31.9,30.6
51~60세,이태원,,16.8,15.9,17,,,
51~60세,롯데월드,,17.1,15.7,15.9,15.2,17.4,15.2
51~60세,청계천,,15.2,,,,,
51~60세,청와대,,,,,,,
51~60세,코엑스,,,,,,,
51~60세,압구정동,,,,,,,
51~60세,신촌/홍대주변,,,8.7,10.7,11.9,10.3,13.6
51~60세,강남역,,,,,17.7,20.2,19.6
51~60세,기 타,,,,,,,
61세 이상,사례수,,366,421,391,303,360,218
61세 이상,명동,,46.3,59.6,53.5,56.6,60.6,60.9
61세 이상,동대문시장,,48.5,40.8,33.8,37,46.5,41.3
61세 이상,남대문시장,,44.4,37.8,41.1,31.8,34.8,32.8
61세 이상,고궁,,60.8,45.4,37.8,37.8,50.4,43.1
61세 이상,인사동,,34,33.5,31.4,24.2,26.3,26.7
61세 이상,박물관(기념관),,33.8,23.2,26.6,16.2,27.4,31.8
61세 이상,남산/N서울타워,,32.7,25.7,22.6,16.7,32.7,26.8
61세 이상,이태원,,17.1,17.4,13.6,,,
61세 이상,롯데월드,,19.8,12.4,17.2,10.6,13.8,13.4
61세 이상,청계천,,12.7,,,,,
61세 이상,청와대,,,,,,,
61세 이상,코엑스,,,,,,,
61세 이상,압구정동,,,,,,,
61세 이상,신촌/홍대주변,,,5.2,3.4,6.8,5.9,8.5
61세 이상,강남역,,,,,17.8,10.6,18.5
61세 이상,기 타,,,,,,,
모름/무응답,사례수,,,,,,,23
모름/무응답,명동,,,,,,,63.4
모름/무응답,동대문시장,,,,,,,46.6
모름/무응답,남대문시장,,,,,,,24.7
모름/무응답,고궁,,,,,,,6.5
모름/무응답,인사동,,,,,,,14.9
모름/무응답,박물관(기념관),,,,,,,5.9
모름/무응답,남산/N서울타워,,,,,,,26.8
모름/무응답,이태원,,,,,,,
모름/무응답,롯데월드,,,,,,,24.5
모름/무응답,청계천,,,,,,,
모름/무응답,청와대,,,,,,,
모름/무응답,코엑스,,,,,,,
모름/무응답,압구정동,,,,,,,
모름/무응답,신촌/홍대주변,,,,,,,18.5
모름/무응답,강남역,,,,,,,35.7
모름/무응답,기 타,,,,,,,
여가/위락/휴가,사례수,,4391,4574,4733,5532,5528,5301
여가/위락/휴가,명동,,78.7,83.4,81.4,87.8,87.2,89.1
여가/위락/휴가,동대문시장,,66.7,67.7,63.6,70.4,66.7,67.3
여가/위락/휴가,남대문시장,,47.4,40.4,31.9,28.9,30.2,30.8
여가/위락/휴가,고궁,,44.7,46.4,46.6,49.6,50.4,43.4
여가/위락/휴가,인사동,,35.3,33,30,32.5,27.6,31.1
여가/위락/휴가,박물관(기념관),,27.8,30.7,29.4,24.2,29.9,26.4
여가/위락/휴가,남산/N서울타워,,41.2,40.5,36.2,50.9,48.7,49.5
여가/위락/휴가,이태원,,15.5,18,18.8,,,
여가/위락/휴가,롯데월드,,29.9,32.8,36.4,29.8,28.4,26
여가/위락/휴가,청계천,,28.5,,,,,
여가/위락/휴가,청와대,,,,,,,
여가/위락/휴가,코엑스,,,,,,,
여가/위락/휴가,압구정동,,,,,,,
여가/위락/휴가,신촌/홍대주변,,,19.2,26.3,34.1,32.3,35.6
여가/위락/휴가,강남역,,,,,18.5,18.4,23.5
여가/위락/휴가,기 타,,,,,,,
"뷰티, 건강 및 치료",사례수,,,,,106,128,68
"뷰티, 건강 및 치료",명동,,,,,72.6,73.1,75.9
"뷰티, 건강 및 치료",동대문시장,,,,,55.9,40.6,67.6
"뷰티, 건강 및 치료",남대문시장,,,,,32.4,20.8,23
"뷰티, 건강 및 치료",고궁,,,,,32.4,18.2,31.2
"뷰티, 건강 및 치료",인사동,,,,,25.3,10.8,12.7
"뷰티, 건강 및 치료",박물관(기념관),,,,,21.8,11.4,15.3
"뷰티, 건강 및 치료",남산/N서울타워,,,,,23.4,16.8,25.3
"뷰티, 건강 및 치료",이태원,,,,,,,
"뷰티, 건강 및 치료",롯데월드,,,,,19.9,17.6,25.2
"뷰티, 건강 및 치료",청계천,,,,,,,
"뷰티, 건강 및 치료",청와대,,,,,,,
"뷰티, 건강 및 치료",코엑스,,,,,,,
"뷰티, 건강 및 치료",압구정동,,,,,,,
"뷰티, 건강 및 치료",신촌/홍대주변,,,,,14.5,17.5,20.2
"뷰티, 건강 및 치료",강남역,,,,,34.6,37.5,40.3
"뷰티, 건강 및 치료",기 타,,,,,,,
건강 및 체력증진,사례수,,31,109,110,,,
건강 및 체력증진,명동,,53.1,79.9,83.4,,,
건강 및 체력증진,동대문시장,,75.2,56.2,65.9,,,
건강 및 체력증진,남대문시장,,33.5,47.2,32.5,,,
