항목,항목,단위,2012 년
사업체 수,전체,,18926
사업체 수,강원,,577
사업체 수,경북,,784
사업체 수,경남,,844
사업체 수,제주,,1234
사업체 수,세종,,16
사업체 수,서울,,7157
사업체 수,부산,,1219
사업체 수,대구,,645
사업체 수,인천,,633
사업체 수,광주,,398
사업체 수,대전,,490
사업체 수,울산,,245
사업체 수,경기,,2400
증감률,전체,,17.2
증감률,강원,,6.9
증감률,경북,,17.9
증감률,경남,,13.9
증감률,제주,,20.6
증감률,서울,,17.3
증감률,부산,,16.4
증감률,대구,,15.8
증감률,인천,,30.8
증감률,광주,,16.4
증감률,대전,,13.4
증감률,울산,,7.9
증감률,경기,,14.8
여행업,전체,,12438
여행업,강원,,243
여행업,경북,,373
여행업,경남,,463
여행업,제주,,865
여행업,세종,,16
여행업,서울,,5386
여행업,부산,,793
여행업,대구,,455
여행업,인천,,382
여행업,광주,,307
여행업,대전,,321
여행업,울산,,127
여행업,경기,,1368
관광숙박업,전체,,1073
관광숙박업,강원,,113
관광숙박업,경북,,74
관광숙박업,경남,,63
관광숙박업,제주,,145
관광숙박업,세종,,0
관광숙박업,서울,,174
관광숙박업,부산,,68
관광숙박업,대구,,26
관광숙박업,인천,,57
관광숙박업,광주,,20
관광숙박업,대전,,32
관광숙박업,울산,,11
관광숙박업,경기,,126
관광객이용시설업,전체,,353
관광객이용시설업,강원,,19
관광객이용시설업,경북,,12
관광객이용시설업,경남,,12
관광객이용시설업,제주,,79
관광객이용시설업,세종,,0
관광객이용시설업,서울,,103
관광객이용시설업,부산,,31
관광객이용시설업,대구,,3
관광객이용시설업,인천,,22
관광객이용시설업,광주,,0
관광객이용시설업,대전,,0
관광객이용시설업,울산,,0
관광객이용시설업,경기,,36
국제회의업,전체,,485
국제회의업,강원,,3
국제회의업,경북,,2
국제회의업,경남,,10
국제회의업,제주,,28
국제회의업,세종,,0
국제회의업,서울,,340
국제회의업,부산,,28
국제회의업,대구,,15
국제회의업,인천,,8
국제회의업,광주,,5
국제회의업,대전,,19
국제회의업,울산,,4
국제회의업,경기,,17
카지노업,전체,,17
카지노업,강원,,2
카지노업,경북,,0
카지노업,경남,,0
카지노업,제주,,8
카지노업,세종,,0
카지노업,서울,,3
카지노업,부산,,2
카지노업,대구,,1
카지노업,인천,,1
카지노업,광주,,0
카지노업,대전,,0
카지노업,울산,,0
카지노업,경기,,0
유원시설업,전체,,389
유원시설업,강원,,42
유원시설업,경북,,24
유원시설업,경남,,28
유원시설업,제주,,19
유원시설업,세종,,0
유원시설업,서울,,24
유원시설업,부산,,30
유원시설업,대구,,18
유원시설업,인천,,13
유원시설업,광주,,4
유원시설업,대전,,5
유원시설업,울산,,8
유원시설업,경기,,81
관광편의시설업,전체,,4171
관광편의시설업,강원,,155
관광편의시설업,경북,,299
관광편의시설업,경남,,268
관광편의시설업,제주,,90
관광편의시설업,세종,,0
관광편의시설업,서울,,1127
관광편의시설업,부산,,267
관광편의시설업,대구,,127
관광편의시설업,인천,,150
관광편의시설업,광주,,62
관광편의시설업,대전,,113
관광편의시설업,울산,,95
관광편의시설업,경기,,772
