Country,Earnings quality,Labour market insecurity
Australia,21,3.92
Austria,21.27,2.23
Belgium,27.23,3.62
Canada,19.41,3.86
Chile,6.45,
Czech Republic,8.47,4.73
Denmark,27.32,2.29
Estonia,,7.61
Finland,20.29,2.56
France,,4.61
Germany,24.46,2.73
Greece,10.17,32.03
Hungary,7.28,7.85
Iceland,21.18,0.72
Ireland,17.55,4.99
Israel,,3.86
Italy,,11.84
Japan,16.09,2.36
Korea,9.91,2.12
Latvia,,
Luxembourg,,2.11
Mexico,3.94,5.23
Netherlands,,3.09
New Zealand,16.69,4.9
Norway,28.14,1.45
Poland,,8.86
Portugal,8.65,11.68
Slovak Republic,8.12,10.74
Slovenia,,5.18
Spain,,26.65
Sweden,,5.16
Switzerland,,1.7
Turkey,,9.77
United Kingdom,16.93,5.68
United States,17.19,5.16
