"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.0148987386,0.0677025819,29.761032472,0
"h_din",1.02568e-05,7.0216e-06,1.4607385764,0.1441515105
"asset",7.04e-08,3.66e-08,1.924402329,0.0543621927
"debt",-2.14e-08,3.67e-08,-0.5821238719,0.5605101106
"h07_9",0.000208402,0.000105709,1.9714684249,0.0487266684
"edu",0.1107775207,0.0131434963,8.4283145149,0
"ecoBB1",0.1385901265,0.0510819607,2.7130933239,0.0066892044
"ecoBB2",0.0807698911,0.0690258697,1.1701394194,0.242001951
"ecoBB3",0.0183890565,0.0442647643,0.4154332874,0.6778429889
"ecoBB4",-0.0660579676,0.0562157933,-1.1750784544,0.2400206019
"ecoBB5",0.5433076965,0.2334550998,2.3272470674,0.0199927805
"jobb1_20131",-0.0082092932,0.0358220367,-0.2291688008,0.8187473144
"h_g32",-0.0196397062,0.0268665332,-0.7310100646,0.4648080657
"h_g102",0.0593502967,0.0260402693,2.2791736906,0.0226996891
"h_g103",0.0451703869,0.0639113598,0.706766168,0.4797455122
"h_g104",0.1171590735,0.1327764623,0.8823783333,0.3776156652
"h_g105",0.1006597423,0.1399599623,0.7192038398,0.4720497362
"h_g106",-0.6832496168,0.1553317345,-4.3986479591,1.11244e-05
"h_reg72",0.0034660138,0.0392915733,0.0882126486,0.9297112802
"h_reg73",-0.0122231615,0.0397982849,-0.3071278459,0.7587591548
"h_reg74",0.0197873956,0.0411191079,0.4812214224,0.6303806907
"h_reg75",0.3917472438,0.0475720956,8.2348115741,0
"h_reg76",0.2240841193,0.047156558,4.7519184781,2.0728e-06
"h_reg77",0.2022206953,0.0393731145,5.1360096257,2.915e-07
"y2",0.305805067,0.0134128294,22.7994450544,0
"h_g9_1",-0.2292875566,0.0111562267,-20.5524289988,0
