 ID   V1  V2 V3 V4 V5 V6 V7 V8 V9 V10  
  1 162 142 42 73 51 102 33 81 67 91
  2 162 137 37 74 54 103 32 80 62 87
  3 156 134 37 72 51 99 32 87 70 93
  4 163 143 38 75 56 108 31 88 69 96
  5 165 140 41 74 54 103 29 75 60 81
  6 160 137 38 72 52 103 30 80 64 94
  7 160 138 40 70 52 102 31 81 64 88
  8 161 139 38 77 56 104 34 96 78 100
  9 161 140 40 72 51 102 34 98 81 100
 10 157 138 42 72 51 98 32 91 76 98
 11 162 140 38 73 50 104 30 76 61 87
 12 158 136 37 68 48 98 30 82 65 91
 13 157 131 35 68 49 97 32 88 66 89
 14 163 140 38 71 51 104 31 80 66 93
 15 168 150 39 74 53 109 32 82 66 93
 16 163 143 39 74 54 105 31 83 66 94
 17 162 141 38 71 53 104 31 83 69 93
 18 160 136 38 71 53 102 30 83 67 87
 19 159 135 37 70 54 100 31 85 65 85
 20 158 136 36 73 52 92 30 83 68 89
 21 164 142 40 72 52 103 31 76 64 87
 22 160 137 38 71 51 101 31 83 65 89
 23 155 135 39 69 48 99 29 88 62 86
 24 158 136 38 73 48 99 32 85 66 90
 25 163 140 38 72 51 104 33 89 72 97
 26 161 136 37 69 50 101 33 90 75 96
 27 161 138 41 72 50 100 32 83 67 88
 28 160 136 36 69 50 103 33 82 66 92
 29 159 135 38 69 50 100 31 81 68 93
 30 157 134 38 69 49 98 30 80 64 88
 31 156 134 36 70 51 100 29 80 65 86
 32 162 140 38 73 52 104 30 80 65 91
 33 157 133 37 72 52 97 31 83 66 84
 34 163 143 39 70 52 101 31 78 69 90
 35 160 135 38 73 47 98 30 82 68 88
 36 155 131 37 68 52 97 28 75 57 83
 37 158 134 36 70 53 98 31 83 69 91
 38 166 143 42 73 52 103 32 82 65 87
 39 162 140 41 71 50 101 31 85 70 89
 40 153 134 38 69 48 97 31 87 72 90
 41 163 140 42 72 51 101 31 80 65 87
 42 165 141 42 73 52 102 31 87 71 95
 43 156 136 37 68 50 99 31 79 64 85
 44 163 141 39 71 50 105 28 71 56 80
 45 165 142 40 69 52 105 30 82 64 90
 46 163 139 39 70 52 102 31 81 64 95
 47 160 139 40 68 50 99 31 87 69 96
 48 164 143 39 71 50 104 33 84 74 96
 49 171 144 43 73 53 107 30 88 71 97
 50 153 133 35 70 48 98 32 81 68 91
 51 164 141 41 73 52 101 32 92 76 96
 52 160 138 41 69 52 101 31 83 70 93
 53 165 144 41 77 53 103 31 82 72 93
 54 157 135 37 67 48 99 32 86 75 92
 55 157 136 37 71 50 99 31 79 68 94
 56 156 133 37 71 52 97 30 86 68 94
 57 159 135 38 71 52 98 32 85 70 94
 58 162 139 39 73 53 101 32 85 69 95
 59 163 140 39 72 53 102 31 80 65 95
 60 154 132 38 71 52 95 32 87 72 90
 61 160 138 38 73 53 100 32 85 76 95
 62 155 132 37 69 50 96 28 70 62 84
 63 165 143 41 74 53 101 34 98 81 104
 64 153 132 36 68 49 95 30 78 65 86
 65 172 148 45 74 51 105 30 81 68 97
 66 162 138 39 71 53 99 32 77 69 87
 67 162 142 42 72 52 99 34 89 75 97
 68 159 135 39 67 49 98 30 81 64 89
 69 159 132 37 69 50 97 31 80 65 91
 70 168 146 39 74 53 108 31 89 73 98
 71 162 137 36 72 52 103 29 74 58 80
 72 152 133 37 70 48 97 32 85 71 89
 73 163 139 39 70 51 101 30 83 69 91
 74 165 140 39 71 52 101 30 80 65 86
 75 166 148 34 72 54 104 31 89 71 96
 76 167 147 42 75 55 108 32 81 69 91
 77 160 137 39 67 48 100 29 72 63 86
 78 157 133 37 65 47 97 29 80 64 87
 79 150 127 33 66 48 93 29 76 61 84
 80 172 144 41 72 53 107 33 85 71 96
 81 155 132 40 69 48 93 31 87 69 91
 82 159 137 41 67 50 98 31 77 63 89
 83 160 135 39 72 51 97 33 86 69 93
 84 163 141 37 69 51 103 31 82 68 91
 85 167 146 40 75 55 107 31 82 70 91
 86 158 137 40 72 50 99 33 82 74 93
 87 162 141 42 72 49 102 33 85 72 93
 88 169 148 41 74 54 108 31 81 67 90
 89 163 139 40 72 50 100 31 80 67 91
 90 161 139 39 72 53 100 31 91 76 93
 91 157 135 39 68 47 98 30 76 61 88
 92 163 141 37 72 51 105 30 82 64 89
 93 164 140 37 74 52 103 30 77 62 90
 94 156 132 37 65 48 96 29 75 62 83
 95 159 139 39 69 51 101 30 77 66 91
 96 163 140 38 71 52 104 31 86 67 92
 97 168 145 40 74 54 103 30 77 67 92
 98 158 137 39 75 54 100 33 89 72 93
 99 158 134 38 65 46 96 33 89 75 95
100 159 137 40 72 52 101 28 82 65 90
101 159 139 40 73 52 101 30 76 61 89
102 152 130 37 68 48 94 31 80 65 89
103 160 139 38 72 53 101 31 77 63 86
104 154 133 39 69 49 98 29 83 64 88
105 162 141 39 70 51 102 32 87 73 95
106 160 138 39 73 52 100 31 80 65 88
107 163 142 40 70 54 102 31 85 68 90
108 162 139 36 71 50 103 30 77 65 86
109 162 140 41 71 51 103 31 76 63 89
110 156 134 38 69 51 98 30 77 69 94
111 160 136 37 71 51 100 31 83 69 90
112 162 140 38 74 54 103 32 82 69 91
113 157 134 38 69 49 96 32 83 69 89
114 161 139 39 70 50 101 31 82 65 91
115 156 134 39 69 49 97 29 80 63 88
116 155 134 37 68 49 100 30 81 65 90
117 160 135 38 69 49 101 31 82 69 90
118 163 139 38 71 52 103 33 89 72 89
119 157 135 35 68 50 101 29 75 63 87
120 157 133 36 66 47 99 31 75 63 92
121 160 136 38 72 51 99 33 92 75 97
122 158 134 36 73 53 99 32 84 69 96
123 159 135 37 69 52 102 31 83 66 91
124 159 136 37 72 54 104 29 80 64 90
125 174 149 44 75 56 106 35 81 75 93
126 170 149 43 78 57 106 37 93 84 103
127 168 145 40 78 57 105 39 102 89 103
128 174 151 43 79 58 110 37 86 76 98
129 173 151 43 78 59 112 37 92 78 96
130 170 147 42 81 59 108 38 93 74 94
131 170 146 41 76 56 107 36 91 83 94
132 164 143 38 75 54 104 33 86 70 97
133 158 135 37 70 51 102 30 85 69 96
134 168 146 39 78 58 109 34 92 78 98
135 168 145 38 78 56 111 32 82 66 94
136 164 140 38 72 53 105 30 79 67 93
137 172 147 38 77 58 112 32 83 72 101
138 152 130 35 69 51 98 31 80 66 92
139 165 141 36 72 55 107 30 85 67 89
140 152 132 36 68 50 96 32 84 71 94
141 160 137 38 68 52 101 29 74 62 89
142 158 135 35 71 52 102 33 79 65 94
143 159 139 38 72 53 103 30 80 68 89
144 161 138 36 70 52 104 29 77 65 88
145 152 132 32 70 50 101 30 81 68 92
146 161 139 35 71 53 105 30 80 66 90
147 163 138 38 72 52 100 32 82 68 94
148 156 133 35 68 49 100 31 75 63 89
149 156 132 36 67 48 97 30 82 66 88
150 160 140 42 74 54 100 35 101 85 102
151 154 131 38 70 50 95 31 84 71 94
152 158 134 36 68 50 101 31 84 64 92
153 165 141 40 73 53 105 34 90 75 98
154 160 138 39 69 50 100 30 81 63 92
155 160 139 38 71 54 104 30 75 60 88
156 157 134 38 69 51 98 32 86 72 94
157 165 140 38 69 51 105 32 86 70 97
158 171 151 44 79 57 109 34 96 77 100
159 163 140 36 72 52 105 31 85 70 94
160 153 130 36 69 50 94 29 75 60 87
161 168 146 40 77 57 108 32 81 65 93
162 162 139 36 73 54 105 31 80 64 91
163 160 137 38 73 53 103 29 76 60 90
164 163 139 39 72 52 101 32 79 64 93
165 158 138 37 74 55 101 31 78 65 91
166 157 133 40 69 49 97 32 84 61 89
167 164 142 41 72 53 104 32 81 66 93
168 158 132 38 67 49 95 35 94 80 95
169 159 135 39 71 53 99 33 86 69 95
170 155 130 36 69 51 95 31 84 68 90
171 161 137 39 72 52 101 33 86 68 92
172 158 135 39 72 51 97 31 90 76 94
173 160 136 36 73 54 104 31 80 66 90
174 162 138 39 71 52 100 30 85 69 91
175 153 129 37 68 50 95 28 75 59 83
176 155 135 40 70 51 100 32 89 79 93
177 162 142 37 73 53 106 31 85 69 94
178 168 146 41 78 56 108 35 99 79 108
179 162 139 37 75 55 104 34 93 78 97
180 160 139 34 70 55 107 29 75 59 88
181 152 131 39 68 52 95 31 86 73 90
182 158 136 35 71 54 103 33 86 73 96
183 156 135 38 70 51 98 31 87 70 96
184 155 132 35 68 50 99 33 84 69 97
185 166 144 39 77 58 109 33 81 67 96
186 160 135 35 69 52 102 30 81 66 94
187 160 138 37 71 52 103 34 84 72 98
188 165 142 37 75 54 106 33 82 70 95
189 168 145 39 73 54 109 30 77 60 87
190 158 135 38 70 52 102 28 80 64 89
191 160 138 38 72 53 103 30 82 67 92
192 157 137 36 69 50 103 31 83 69 91
193 158 138 39 70 51 99 31 82 64 95
194 158 137 39 73 52 101 32 81 61 91
195 162 141 37 73 54 107 31 89 74 94
196 157 135 41 72 53 97 31 85 65 92
197 162 139 41 72 52 101 31 78 61 90
198 164 141 41 73 53 104 34 98 80 100
199 163 140 38 72 52 104 32 81 68 94
200 160 139 39 70 53 103 30 81 63 91
201 166 145 39 76 57 109 32 87 77 100
202 170 148 40 78 59 114 32 89 71 102
203 154 136 41 71 51 98 32 85 71 101
204 155 135 39 71 53 98 30 78 62 86
205 157 134 39 69 51 97 31 78 63 92
206 158 136 37 69 50 101 31 79 59 89
207 157 136 38 70 52 99 33 88 74 94
208 158 136 38 73 54 101 31 86 72 96
209 158 138 39 74 52 103 33 90 73 96
210 161 140 39 73 52 103 33 86 70 95
211 160 138 38 73 54 103 30 79 63 90
212 164 142 43 73 52 103 35 84 70 98
213 163 140 42 70 51 100 32 88 72 98
214 160 136 37 71 52 99 32 82 68 96
215 155 133 37 72 52 98 32 92 72 98
216 157 137 36 69 50 102 31 85 71 96
217 164 144 41 73 55 105 34 89 72 98
218 160 134 36 70 51 100 31 87 69 91
219 158 134 36 70 51 99 30 81 67 89
220 160 137 36 70 51 103 31 89 73 93
221 158 136 38 69 51 99 33 86 74 100
222 162 140 39 73 54 103 33 89 75 99
223 165 140 38 75 56 102 33 99 80 104
224 156 133 35 69 52 101 31 80 65 90
225 162 140 36 73 53 104 32 87 70 96
226 155 132 35 69 52 101 32 82 68 89
227 151 127 36 69 51 95 31 97 80 96
228 156 136 37 70 51 100 32 84 67 90
229 154 132 37 69 50 96 31 88 69 97
230 163 143 39 77 56 105 36 102 83 106
231 168 139 41 74 55 107 30 81 63 91
232 160 136 35 71 52 103 29 80 61 86
233 157 134 36 70 52 102 31 85 73 93
234 157 136 40 68 50 100 31 85 73 97
235 155 131 36 69 50 97 31 85 66 88
236 158 138 39 68 52 103 29 77 63 92
237 163 140 38 72 53 105 32 86 70 97
238 155 132 37 66 48 96 30 76 61 88
239 163 141 39 72 52 101 33 84 69 96
240 162 138 40 70 53 100 29 75 61 92
