楷飞喊,悼备_巢,悼备_咯,吝备_巢,吝备_咯,辑备_巢,辑备_咯,蜡己备_巢,蜡己备_咯,措傣备_巢,措傣备_咯
0~4技,"4,442","4,182","4,541","4,235","10,567","9,883","10,189","9,644","3,330","3,221"
5~9技,"5,097","4,870","5,353","5,098","11,613","10,935","10,493","9,767","3,991","3,683"
10~14技,"5,047","4,754","5,639","5,322","12,580","11,957","9,996","9,103","4,440","4,100"
15~19技,"8,701","7,673","7,568","6,516","16,833","16,089","13,611","11,586","6,406","5,946"
20~24技,"12,246","11,200","8,393","7,780","20,735","19,853","18,426","14,766","8,472","7,629"
25~29技,"8,552","6,535","7,725","7,074","18,250","17,298","17,143","12,615","6,905","5,444"
30~34技,"7,129","6,322","7,020","6,742","16,739","16,395","15,302","13,570","5,760","4,976"
35~39技,"8,809","8,210","8,867","8,797","18,507","18,930","16,048","16,127","6,744","6,219"
40~44技,"9,191","8,230","9,445","9,304","18,558","20,274","15,226","15,511","7,233","6,991"
45~49技,"9,759","8,954","10,850","10,651","21,846","23,430","16,256","16,170","8,999","8,953"
50~54技,"8,752","8,428","9,497","9,341","18,565","19,556","13,341","12,898","8,268","7,884"
55~59技,"9,659","10,100","9,939","10,605","19,016","19,780","12,505","12,313","8,585","8,438"
60~64技,"7,832","8,177","8,147","8,988","13,674","14,134","8,624","7,932","6,041","6,143"
65~69技,"5,717","6,244","6,206","6,911","8,861","9,230","4,797","4,724","4,036","4,136"
70~74技,"4,235","4,981","4,562","5,362","5,706","6,599","2,878","3,319","2,679","3,124"
75~79技,"3,287","4,639","3,722","4,823","4,478","5,931","2,215","3,195","2,091","2,876"
80~84技,"1,733","2,965","1,930","3,197","2,277","4,039","1,195","2,430","1,039","1,910"
85技捞惑,829,"2,271",952,"2,438","1,123","3,208",709,"2,015",444,"1,333"
